Date;Release Date;Type
2015-01-28;2015-01-28;Statement
2015-01-28;2015-02-18;Minute
2014-12-17;2015-01-07;Minute
2014-12-17;2014-12-17;Statement
2014-10-29;2014-10-29;Statement
2014-10-29;2014-11-19;Minute
2014-09-17;2014-10-08;Minute
2014-09-17;2014-09-17;Statement
2014-07-30;2014-07-30;Statement
2014-07-30;2014-08-20;Minute
2014-06-18;2014-06-18;Statement
2014-06-18;2014-07-09;Minute
2014-04-30;2014-04-30;Statement
2014-04-30;2014-05-21;Minute
2014-03-19;2014-03-19;Statement
2014-03-19;2014-04-09;Minute
2014-03-04;;Minute
2014-01-29;2014-02-19;Minute
2014-01-29;2014-01-29;Statement
2013-12-18;2014-01-08;Minute
2013-12-18;2013-12-18;Statement
2013-10-30;2013-11-20;Minute
2013-10-30;2013-10-30;Statement
2013-10-16;;Minute
2013-09-18;2013-10-09;Minute
2013-09-18;2013-09-18;Statement
2013-07-31;2013-08-21;Minute
2013-07-31;2013-07-31;Statement
2013-06-19;2013-07-10;Minute
2013-06-19;2013-06-19;Statement
2013-05-01;2013-05-01;Statement
2013-05-01;2013-05-22;Minute
2013-03-20;2013-03-20;Statement
2013-03-20;2013-04-10;Minute
2013-01-30;2013-02-20;Minute
2013-01-30;2013-01-30;Statement
2012-12-12;2013-01-03;Minute
2012-12-12;2012-12-12;Statement
2012-10-24;2012-10-24;Statement
2012-10-24;2012-11-14;Minute
2012-09-13;2012-09-13;Statement
2012-09-13;2012-10-04;Minute
2012-08-01;2012-08-01;Statement
2012-08-01;2012-08-22;Minute
2012-06-20;2012-07-11;Minute
2012-06-20;2012-06-20;Statement
2012-04-25;2012-04-25;Statement
2012-04-25;2012-05-16;Minute
2012-03-13;2012-04-03;Minute
2012-03-13;2012-03-13;Statement
2012-01-25;2012-01-25;Statement
2012-01-25;2012-02-15;Minute
2011-12-13;2012-01-03;Minute
2011-12-13;2011-12-13;Statement
2011-11-28;;Minute
2011-11-02;2011-11-22;Minute
2011-11-02;2011-11-02;Statement
2011-09-21;2011-10-12;Minute
2011-09-21;2011-09-21;Statement
2011-08-09;2011-08-30;Minute
2011-08-09;2011-08-09;Statement
2011-08-01;;Minute
2011-06-22;2011-07-12;Minute
2011-06-22;2011-06-22;Statement
2011-04-27;2011-05-18;Minute
2011-04-27;2011-04-27;Statement
2011-03-15;2011-03-15;Statement
2011-03-15;2011-04-05;Minute
2011-01-26;2011-02-16;Minute
2011-01-26;2011-01-26;Statement
2010-12-14;2011-01-04;Minute
2010-12-14;2010-12-14;Statement
2010-11-03;2010-11-23;Minute
2010-11-03;2010-11-03;Statement
2010-10-15;;Minute
2010-09-21;2010-09-21;Statement
2010-09-21;2010-10-12;Minute
2010-08-10;2010-08-31;Minute
2010-08-10;2010-08-10;Statement
2010-06-23;2010-07-14;Minute
2010-06-23;2010-06-23;Statement
2010-05-09;;Minute
2010-05-09;2010-05-09;Statement
2010-04-28;2010-05-19;Minute
2010-04-28;2010-04-28;Statement
2010-03-16;2010-04-06;Minute
2010-03-16;2010-03-16;Statement
2010-01-27;2010-02-17;Minute
2010-01-27;2010-01-27;Statement
2009-12-15;2009-12-15;Statement
2009-12-15;2010-01-06;Minute
2009-11-04;2009-11-24;Minute
2009-11-04;2009-11-04;Statement
2009-09-22;2009-09-22;Statement
2009-09-22;2009-10-14;Minute
2009-08-11;2009-09-02;Minute
2009-08-11;2009-08-11;Statement
2009-06-24;2009-07-15;Minute
2009-06-24;2009-06-24;Statement
2009-06-03;;Minute
2009-04-29;2009-05-20;Minute
2009-04-29;2009-04-29;Statement
2009-03-17;2009-04-08;Minute
2009-03-17;2009-03-17;Statement
2009-02-07;;Minute
2009-01-28;2009-02-18;Minute
2009-01-28;2009-01-28;Statement
2009-01-16;;Minute
2008-12-16;2009-01-06;Minute
2008-12-16;2008-12-16;Statement
2008-10-29;2008-11-19;Minute
2008-10-29;2008-10-29;Statement
2008-10-07;2008-10-07;Statement
2008-10-07;;Minute
2008-09-29;;Minute
2008-09-16;2008-10-07;Minute
