"date","Skewness","Moving average"
2019-02-19,-0.726630560449688,-0.27587464715582
2019-02-20,-0.444937323533712,-0.276351950809304
2019-02-21,-0.596211427205864,-0.277257907904228
2019-02-22,-0.51559293352054,-0.276754885392842
2019-02-25,-0.343451670706955,-0.276830119144674
2019-02-26,-0.472477699521531,-0.278079455173272
2019-02-27,-0.334288324786019,-0.277821776031321
2019-02-28,-0.488299193415318,-0.278455665106136
2019-03-01,-0.0655718179442317,-0.278169591763205
2019-03-04,-0.226201445510657,-0.278476103334817
2019-03-05,-0.441454798749379,-0.279614036559009
2019-03-06,0.0427564943520527,-0.278651645452204
2019-03-07,-0.192835659193311,-0.278780677304271
2019-03-08,-0.438992170586109,-0.280203771226959
2019-03-11,-0.319394118508789,-0.281167020337849
2019-03-12,-0.731836850923756,-0.283336638880066
2019-03-13,-0.525963539157381,-0.284415176926053
2019-03-14,-0.382815550021891,-0.284855751928956
2019-03-15,-0.525533149766779,-0.287162433359215
2019-03-18,-0.800057887995617,-0.290181915985315
2019-03-19,-0.570021149479449,-0.2922070486726
2019-03-20,-0.901019949962946,-0.295662339867501
2019-03-21,-0.6510580705294,-0.297389191619808
2019-03-22,-1.49669321025451,-0.30216958973571
2019-03-25,-1.54028121954381,-0.307471307665522
2019-03-26,-1.33542501289624,-0.311308969165948
2019-03-27,-1.29172255971586,-0.314834260198092
2019-03-28,-1.30961676709105,-0.3180243319821
2019-03-29,-1.2892428721999,-0.321360473385264
2019-04-01,-0.731643881629988,-0.323541643777174
2019-04-02,-0.966571632324439,-0.326939805376943
2019-04-03,-0.688805573006634,-0.329611267929165
2019-04-04,-0.67612337182572,-0.3313313348677
2019-04-05,-0.81563564137985,-0.33320226639736
2019-04-08,-0.427843419447848,-0.334299318338028
2019-04-09,-0.749963971499652,-0.335375693675731
2019-04-10,-0.691245527188182,-0.336933660412227
2019-04-11,-0.63070871305934,-0.338816901801689
2019-04-12,-0.272458258067813,-0.339338320811948
2019-04-15,-0.260427295679426,-0.339330085870872
2019-04-16,-0.242366307210217,-0.340635752668635
2019-04-17,-0.253718504835468,-0.341795981265656
2019-04-18,-0.461123101303963,-0.344209586183338
2019-04-22,-0.335821111100712,-0.345326190802814
2019-04-23,-0.0655268215659599,-0.345793652290961
2019-04-24,-0.428151082989591,-0.348812131421601
2019-04-25,-0.366940092541139,-0.350563520394797
2019-04-26,-0.321088295856146,-0.351704493355303
2019-04-29,-0.288848980167913,-0.352529193828748
2019-04-30,-0.439609545063852,-0.353776097587815
2019-05-01,-0.543061546375128,-0.355333943058046
2019-05-02,-0.402757628461034,-0.355833691750821
2019-05-03,-0.455663690577768,-0.357921763587053
2019-05-06,-0.553213963913443,-0.360045400341863
2019-05-07,-0.851105510849626,-0.363441629942793
2019-05-08,-0.818334177771322,-0.367321711384815
2019-05-09,-0.93507141362996,-0.371198416783675
2019-05-10,-0.50795533660638,-0.372687558972412
2019-05-13,-0.736748461927956,-0.376148084017492
2019-05-14,-0.631112558132779,-0.379646370686151
2019-05-15,-0.888570411867006,-0.383657742159541
2019-05-16,-0.919650737509794,-0.388205477688035
2019-05-17,-0.81245395643062,-0.391546150116228
2019-05-20,-0.825139426662411,-0.395760933584376
2019-05-21,-0.682904345464835,-0.399065140098753
2019-05-22,-0.754677446936701,-0.401238826403144
2019-05-23,-0.752065632320372,-0.403643069490539
2019-05-24,-0.879543277561785,-0.406835808967266
2019-05-28,-1.00327305272576,-0.408737528081069
2019-05-29,-1.08871286788946,-0.409591897327499
2019-05-30,-0.912956077228144,-0.412082046002703
2019-05-31,-1.08528175009019,-0.415005178303737
2019-06-03,-1.05504470532834,-0.419151698679457
2019-06-04,-0.779252175008532,-0.421700287332006
2019-06-05,-0.735656376968649,-0.42536695802482
2019-06-06,-0.717451234777603,-0.426898094100588
2019-06-07,-0.700648528627704,-0.428524867263083
2019-06-10,-0.619883581654366,-0.430327045185368
2019-06-11,-0.821442719995718,-0.433947585505515
2019-06-12,-0.685332114276115,-0.437500971251266
2019-06-13,-0.92585683257617,-0.441279193045636
2019-06-14,-0.948876480414684,-0.444665357652399
2019-06-17,-0.691707320898029,-0.447016156520839
2019-06-18,-0.562330093691108,-0.448694526387992
2019-06-19,-0.437040572179089,-0.449533716986209
2019-06-20,-0.807892108244177,-0.451344672677007
2019-06-21,-0.349604164624624,-0.451942935251177
2019-06-24,-0.220448226957882,-0.451283585596433
2019-06-25,-0.312119002937303,-0.451022367050667
2019-06-26,-0.275329490768354,-0.450171244021203
2019-06-27,-0.21130950010125,-0.450580653951554
2019-06-28,-0.318827998164608,-0.450704379220891
2019-07-01,-0.215704915072642,-0.450873288774679
2019-07-02,-0.49139767453275,-0.451661708090658
2019-07-03,-0.27874552542132,-0.451725076496534
2019-07-05,0.0442754010568787,-0.450458641117482
2019-07-08,0.129922737755701,-0.448913934614324
2019-07-09,-0.0978636020113157,-0.449644791751487
2019-07-10,-0.171510201537819,-0.449563861373905
